symbol,daily_status,options_status,route_status,corporate_action_status,earnings_status,action,first_blocker,covered_call_ready
NVDA,READY,READY,READY,NOT_REQUIRED,READY,REUSE,,True
AMD,READY,READY,READY,NOT_REQUIRED,MISSING,INGEST_GAP,EARNINGS_MISSING,False
MSFT,READY,READY,READY,NOT_REQUIRED,MISSING,INGEST_GAP,EARNINGS_MISSING,False
AMZN,READY,INVALID,INVALID,NOT_REQUIRED,READY,REPAIR,OPTIONS_CANONICAL_READ_FAILED,False
TSLA,READY,INVALID,INVALID,NOT_REQUIRED,READY,REPAIR,OPTIONS_CANONICAL_READ_FAILED,False
META,READY,READY,READY,NOT_REQUIRED,MISSING,INGEST_GAP,EARNINGS_MISSING,False
GOOGL,READY,MISSING,MISSING,NOT_REQUIRED,MISSING,BLOCK,OPTIONS_CANONICAL_READ_FAILED,False
AVGO,READY,MISSING,MISSING,NOT_REQUIRED,MISSING,BLOCK,OPTIONS_CANONICAL_READ_FAILED,False
MU,READY,READY,READY,NOT_REQUIRED,MISSING,INGEST_GAP,EARNINGS_MISSING,False
HOOD,READY,READY,READY,NOT_REQUIRED,MISSING,INGEST_GAP,EARNINGS_MISSING,False
PLTR,READY,MISSING,MISSING,NOT_REQUIRED,MISSING,BLOCK,OPTIONS_CANONICAL_READ_FAILED,False
JPM,READY,READY,READY,NOT_REQUIRED,MISSING,INGEST_GAP,EARNINGS_MISSING,False
BAC,READY,MISSING,MISSING,NOT_REQUIRED,MISSING,BLOCK,OPTIONS_CANONICAL_READ_FAILED,False
GS,READY,MISSING,MISSING,NOT_REQUIRED,MISSING,BLOCK,OPTIONS_CANONICAL_READ_FAILED,False
WMT,READY,MISSING,MISSING,NOT_REQUIRED,MISSING,BLOCK,OPTIONS_CANONICAL_READ_FAILED,False
COST,READY,READY,READY,NOT_REQUIRED,MISSING,INGEST_GAP,EARNINGS_MISSING,False
HD,READY,MISSING,MISSING,NOT_REQUIRED,MISSING,BLOCK,OPTIONS_CANONICAL_READ_FAILED,False
UNH,READY,MISSING,MISSING,NOT_REQUIRED,MISSING,BLOCK,OPTIONS_CANONICAL_READ_FAILED,False
ABBV,READY,MISSING,MISSING,NOT_REQUIRED,MISSING,BLOCK,OPTIONS_CANONICAL_READ_FAILED,False
CAT,READY,READY,READY,NOT_REQUIRED,MISSING,INGEST_GAP,EARNINGS_MISSING,False
RTX,READY,MISSING,MISSING,NOT_REQUIRED,MISSING,BLOCK,OPTIONS_CANONICAL_READ_FAILED,False
XOM,READY,READY,READY,NOT_REQUIRED,MISSING,INGEST_GAP,EARNINGS_MISSING,False
CVX,READY,MISSING,MISSING,NOT_REQUIRED,MISSING,BLOCK,OPTIONS_CANONICAL_READ_FAILED,False
COP,READY,MISSING,MISSING,NOT_REQUIRED,MISSING,BLOCK,OPTIONS_CANONICAL_READ_FAILED,False
MCD,READY,MISSING,MISSING,NOT_REQUIRED,MISSING,BLOCK,OPTIONS_CANONICAL_READ_FAILED,False
