symbol,reason,relationships,checkpoint
AAPD,MIGRATED_ACTIVE_CONTENT_CONFLICT,"[{""year"":2026,""left"":""data\\parquet\\daily\\symbol=AAPD\\year=2026\\1d8a8354d10a605df61f6c2b.parquet"",""right"":""data\\parquet\\daily\\symbol=AAPD\\year=2026\\AAPD_2026.parquet"",""left_sha256"":""d782f2844c53911c1eff64723a23ce6546e56771f146b2bfd965e237fc82cdd8"",""right_sha256"":""4738285de9edd654373992315c07bdaf4068d4c293afc495f9b959fd563c0c28"",""overlap_rows"":162,""conflicting_rows"":107,""first_conflict"":""2026-01-02"",""last_conflict"":""2026-08-14"",""warmup_conflicting_sessions"":107},{""year"":2026,""left"":""data\\parquet\\daily\\symbol=AAPD\\year=2026\\1d8a8354d10a605df61f6c2b.parquet"",""right"":""data\\parquet\\daily\\symbol=AAPD\\year=2026\\aa0224bbbf935cd72b31fbb7.parquet"",""left_sha256"":""d782f2844c53911c1eff64723a23ce6546e56771f146b2bfd965e237fc82cdd8"",""right_sha256"":""c79a93a5b80d31a7664548e065981354568514117c9f9607f9f86d61d79d40d3"",""overlap_rows"":162,""conflicting_rows"":71,""first_conflict"":""2026-01-02"",""last_conflict"":""2026-08-11"",""warmup_conflicting_sessions"":71},{""year"":2026,""left"":""data\\parquet\\daily\\symbol=AAPD\\year=2026\\AAPD_2026.parquet"",""right"":""data\\parquet\\daily\\symbol=AAPD\\year=2026\\aa0224bbbf935cd72b31fbb7.parquet"",""left_sha256"":""4738285de9edd654373992315c07bdaf4068d4c293afc495f9b959fd563c0c28"",""right_sha256"":""c79a93a5b80d31a7664548e065981354568514117c9f9607f9f86d61d79d40d3"",""overlap_rows"":168,""conflicting_rows"":36,""first_conflict"":""2026-01-06"",""last_conflict"":""2026-08-14"",""warmup_conflicting_sessions"":36}]",H:\workspace\PCSOS\pool_scan_runs\daily_coverage_recovery_20260905_1741\tickers\AAPD.json
AAXJ,MIGRATED_ACTIVE_CONTENT_CONFLICT,"[{""year"":2025,""left"":""data\\parquet\\daily\\symbol=AAXJ\\year=2025\\06aef4a3cc0ead8106196973.parquet"",""right"":""data\\parquet\\daily\\symbol=AAXJ\\year=2025\\135d2d1c6f794d39a9ed5850.parquet"",""left_sha256"":""4ef9dd4592fd31580e05cc5eb9bf4576105327ff4e2b80541604d52c82b77918"",""right_sha256"":""c32bab5b6c2481f1dbce2c35d3e9967db719235f2a2b542b912d250a5a70bbc0"",""overlap_rows"":250,""conflicting_rows"":91,""first_conflict"":""2025-07-01"",""last_conflict"":""2025-12-31"",""warmup_conflicting_sessions"":22},{""year"":2025,""left"":""data\\parquet\\daily\\symbol=AAXJ\\year=2025\\06aef4a3cc0ead8106196973.parquet"",""right"":""data\\parquet\\daily\\symbol=AAXJ\\year=2025\\6a0f6405a97ffa832d5fea59.parquet"",""left_sha256"":""4ef9dd4592fd31580e05cc5eb9bf4576105327ff4e2b80541604d52c82b77918"",""right_sha256"":""8787ce98deb05bfd735416923f46602a467131c18fc4e88bf4e5cbba866f3b35"",""overlap_rows"":250,""conflicting_rows"":56,""first_conflict"":""2025-07-10"",""last_conflict"":""2025-12-31"",""warmup_conflicting_sessions"":16},{""year"":2025,""left"":""data\\parquet\\daily\\symbol=AAXJ\\year=2025\\06aef4a3cc0ead8106196973.parquet"",""right"":""data\\parquet\\daily\\symbol=AAXJ\\year=2025\\AAXJ_2025.parquet"",""left_sha256"":""4ef9dd4592fd31580e05cc5eb9bf4576105327ff4e2b80541604d52c82b77918"",""right_sha256"":""0dbe81e799cb0c971eb63f3d3fe0c9087312e851212380c3619885603b33097a"",""overlap_rows"":250,""conflicting_rows"":91,""first_conflict"":""2025-07-01"",""last_conflict"":""2025-12-31"",""warmup_conflicting_sessions"":22},{""year"":2025,""left"":""data\\parquet\\daily\\symbol=AAXJ\\year=2025\\135d2d1c6f794d39a9ed5850.parquet"",""right"":""data\\parquet\\daily\\symbol=AAXJ\\year=2025\\6a0f6405a97ffa832d5fea59.parquet"",""left_sha256"":""c32bab5b6c2481f1dbce2c35d3e9967db719235f2a2b542b912d250a5a70bbc0"",""right_sha256"":""8787ce98deb05bfd735416923f46602a467131c18fc4e88bf4e5cbba866f3b35"",""overlap_rows"":250,""conflicting_rows"":59,""first_conflict"":""2025-07-01"",""last_conflict"":""2025-12-31"",""warmup_conflicting_sessions"":16},{""year"":2025,""left"":""data\\parquet\\daily\\symbol=AAXJ\\year=2025\\135d2d1c6f794d39a9ed5850.parquet"",""right"":""data\\parquet\\daily\\symbol=AAXJ\\year=2025\\AAXJ_2025.parquet"",""left_sha256"":""c32bab5b6c2481f1dbce2c35d3e9967db719235f2a2b542b912d250a5a70bbc0"",""right_sha256"":""0dbe81e799cb0c971eb63f3d3fe0c9087312e851212380c3619885603b33097a"",""overlap_rows"":250,""conflicting_rows"":24,""first_conflict"":""2025-07-10"",""last_conflict"":""2025-12-31"",""warmup_conflicting_sessions"":10},{""year"":2025,""left"":""data\\parquet\\daily\\symbol=AAXJ\\year=2025\\6a0f6405a97ffa832d5fea59.parquet"",""right"":""data\\parquet\\daily\\symbol=AAXJ\\year=2025\\AAXJ_2025.parquet"",""left_sha256"":""8787ce98deb05bfd735416923f46602a467131c18fc4e88bf4e5cbba866f3b35"",""right_sha256"":""0dbe81e799cb0c971eb63f3d3fe0c9087312e851212380c3619885603b33097a"",""overlap_rows"":250,""conflicting_rows"":35,""first_conflict"":""2025-07-01"",""last_conflict"":""2025-12-30"",""warmup_conflicting_sessions"":6}]",H:\workspace\PCSOS\pool_scan_runs\daily_coverage_recovery_20260905_1741\tickers\AAXJ.json
ABEO,MIGRATED_ACTIVE_CONTENT_CONFLICT,"[{""year"":2025,""left"":""data\\parquet\\daily\\symbol=ABEO\\year=2025\\4f6918c5986b4a0a0d466ec3.parquet"",""right"":""data\\parquet\\daily\\symbol=ABEO\\year=2025\\5d8dc12b9208479d5716693d.parquet"",""left_sha256"":""cf17dbf7c7d28e4cb62b06e0031ad1409bfacd183ffd21f6a2aa7b67917d16dc"",""right_sha256"":""bbbdc66574f47d0479afb5eb6b1740592d163d117b2cca32f6e5aab241f33e8a"",""overlap_rows"":250,""conflicting_rows"":18,""first_conflict"":""2025-07-29"",""last_conflict"":""2025-12-09"",""warmup_conflicting_sessions"":4},{""year"":2025,""left"":""data\\parquet\\daily\\symbol=ABEO\\year=2025\\4f6918c5986b4a0a0d466ec3.parquet"",""right"":""data\\parquet\\daily\\symbol=ABEO\\year=2025\\ABEO_2025.parquet"",""left_sha256"":""cf17dbf7c7d28e4cb62b06e0031ad1409bfacd183ffd21f6a2aa7b67917d16dc"",""right_sha256"":""cf17dbf7c7d28e4cb62b06e0031ad1409bfacd183ffd21f6a2aa7b67917d16dc"",""overlap_rows"":250,""conflicting_rows"":0,""first_conflict"":null,""last_conflict"":null,""warmup_conflicting_sessions"":0},{""year"":2025,""left"":""data\\parquet\\daily\\symbol=ABEO\\year=2025\\5d8dc12b9208479d5716693d.parquet"",""right"":""data\\parquet\\daily\\symbol=ABEO\\year=2025\\ABEO_2025.parquet"",""left_sha256"":""bbbdc66574f47d0479afb5eb6b1740592d163d117b2cca32f6e5aab241f33e8a"",""right_sha256"":""cf17dbf7c7d28e4cb62b06e0031ad1409bfacd183ffd21f6a2aa7b67917d16dc"",""overlap_rows"":250,""conflicting_rows"":18,""first_conflict"":""2025-07-29"",""last_conflict"":""2025-12-09"",""warmup_conflicting_sessions"":4}]",H:\workspace\PCSOS\pool_scan_runs\daily_coverage_recovery_20260905_1741\tickers\ABEO.json
ABT,MIGRATED_ACTIVE_CONTENT_CONFLICT,"[{""year"":2025,""left"":""data\\parquet\\daily\\symbol=ABT\\year=2025\\8cadf3b86ec475004efc7c39.parquet"",""right"":""data\\parquet\\daily\\symbol=ABT\\year=2025\\ABT_2025.parquet"",""left_sha256"":""6c8a0c5bb5596eeffd7a690fdb63d0fa32e5dccbe7c75a0e113a6a5d4ad965d4"",""right_sha256"":""f4e5dcad6544e3d64607cc983621198392486f58afe6809b31408e3a0953b8e9"",""overlap_rows"":250,""conflicting_rows"":56,""first_conflict"":""2025-07-10"",""last_conflict"":""2025-12-31"",""warmup_conflicting_sessions"":16},{""year"":2026,""left"":""data\\parquet\\daily\\symbol=ABT\\year=2026\\19f0801037464a74ddfad62b.parquet"",""right"":""data\\parquet\\daily\\symbol=ABT\\year=2026\\5f24e5fa75360d81c6ee0103.parquet"",""left_sha256"":""c6918b175c654b29fac84d6d658e5c356ab45622e3f9d11415a760f0d23542d8"",""right_sha256"":""838a72358c23c9272037dbf238e310d29c97058889fbed0124b91e69c9e6211a"",""overlap_rows"":167,""conflicting_rows"":61,""first_conflict"":""2026-01-02"",""last_conflict"":""2026-08-13"",""warmup_conflicting_sessions"":61},{""year"":2026,""left"":""data\\parquet\\daily\\symbol=ABT\\year=2026\\19f0801037464a74ddfad62b.parquet"",""right"":""data\\parquet\\daily\\symbol=ABT\\year=2026\\ABT_2026.parquet"",""left_sha256"":""c6918b175c654b29fac84d6d658e5c356ab45622e3f9d11415a760f0d23542d8"",""right_sha256"":""838a72358c23c9272037dbf238e310d29c97058889fbed0124b91e69c9e6211a"",""overlap_rows"":167,""conflicting_rows"":61,""first_conflict"":""2026-01-02"",""last_conflict"":""2026-08-13"",""warmup_conflicting_sessions"":61},{""year"":2026,""left"":""data\\parquet\\daily\\symbol=ABT\\year=2026\\5f24e5fa75360d81c6ee0103.parquet"",""right"":""data\\parquet\\daily\\symbol=ABT\\year=2026\\ABT_2026.parquet"",""left_sha256"":""838a72358c23c9272037dbf238e310d29c97058889fbed0124b91e69c9e6211a"",""right_sha256"":""838a72358c23c9272037dbf238e310d29c97058889fbed0124b91e69c9e6211a"",""overlap_rows"":168,""conflicting_rows"":0,""first_conflict"":null,""last_conflict"":null,""warmup_conflicting_sessions"":0}]",H:\workspace\PCSOS\pool_scan_runs\daily_coverage_recovery_20260905_1741\tickers\ABT.json
ABTS,MIGRATED_ACTIVE_CONTENT_CONFLICT,"[{""year"":2025,""left"":""data\\parquet\\daily\\symbol=ABTS\\year=2025\\5f29adf6d51a5321709713a9.parquet"",""right"":""data\\parquet\\daily\\symbol=ABTS\\year=2025\\ABTS_2025.parquet"",""left_sha256"":""f8234ead41e693905cd110b838ce129174bc2e0c42743913707357a18ba4576e"",""right_sha256"":""bcb6b7c6b27697ae89b56dc8738ab60a7ea4c991f0783271ff9eafd520bdf801"",""overlap_rows"":250,""conflicting_rows"":15,""first_conflict"":""2025-07-18"",""last_conflict"":""2025-12-12"",""warmup_conflicting_sessions"":1},{""year"":2026,""left"":""data\\parquet\\daily\\symbol=ABTS\\year=2026\\5e0d42cbccb9b812ce44440c.parquet"",""right"":""data\\parquet\\daily\\symbol=ABTS\\year=2026\\ABTS_2026.parquet"",""left_sha256"":""e8f25e5505d7c102c5ac7111458e1647d15dd58da5272d070a332f63a88d2ae4"",""right_sha256"":""1fad5fbdac4e2895bf9214ac13f199d387496c80b5aab1a9c7eda0c2e0814716"",""overlap_rows"":168,""conflicting_rows"":23,""first_conflict"":""2026-02-05"",""last_conflict"":""2026-08-28"",""warmup_conflicting_sessions"":23}]",H:\workspace\PCSOS\pool_scan_runs\daily_coverage_recovery_20260905_1741\tickers\ABTS.json
ABVC,MIGRATED_ACTIVE_CONTENT_CONFLICT,"[{""year"":2026,""left"":""data\\parquet\\daily\\symbol=ABVC\\year=2026\\441b6bfa481e1d9c56c12875.parquet"",""right"":""data\\parquet\\daily\\symbol=ABVC\\year=2026\\7fcee36b251cd5eb6265ab03.parquet"",""left_sha256"":""23042d887886ccf26861aad1b66ea236f6c6ce4edf5639a5cfb6eeed2b22d3cd"",""right_sha256"":""2f97fc11c237f66d71ed1b9cbd45c39e6b5ea25655dae029d3c2e6bd34027542"",""overlap_rows"":162,""conflicting_rows"":45,""first_conflict"":""2026-02-17"",""last_conflict"":""2026-08-17"",""warmup_conflicting_sessions"":45},{""year"":2026,""left"":""data\\parquet\\daily\\symbol=ABVC\\year=2026\\441b6bfa481e1d9c56c12875.parquet"",""right"":""data\\parquet\\daily\\symbol=ABVC\\year=2026\\ABVC_2026.parquet"",""left_sha256"":""23042d887886ccf26861aad1b66ea236f6c6ce4edf5639a5cfb6eeed2b22d3cd"",""right_sha256"":""2f97fc11c237f66d71ed1b9cbd45c39e6b5ea25655dae029d3c2e6bd34027542"",""overlap_rows"":162,""conflicting_rows"":45,""first_conflict"":""2026-02-17"",""last_conflict"":""2026-08-17"",""warmup_conflicting_sessions"":45},{""year"":2026,""left"":""data\\parquet\\daily\\symbol=ABVC\\year=2026\\7fcee36b251cd5eb6265ab03.parquet"",""right"":""data\\parquet\\daily\\symbol=ABVC\\year=2026\\ABVC_2026.parquet"",""left_sha256"":""2f97fc11c237f66d71ed1b9cbd45c39e6b5ea25655dae029d3c2e6bd34027542"",""right_sha256"":""2f97fc11c237f66d71ed1b9cbd45c39e6b5ea25655dae029d3c2e6bd34027542"",""overlap_rows"":168,""conflicting_rows"":0,""first_conflict"":null,""last_conflict"":null,""warmup_conflicting_sessions"":0}]",H:\workspace\PCSOS\pool_scan_runs\daily_coverage_recovery_20260905_1741\tickers\ABVC.json
ACA,MIGRATED_ACTIVE_CONTENT_CONFLICT,"[{""year"":2026,""left"":""data\\parquet\\daily\\symbol=ACA\\year=2026\\1cba7032ab28e828f37919c4.parquet"",""right"":""data\\parquet\\daily\\symbol=ACA\\year=2026\\ACA_2026.parquet"",""left_sha256"":""04c958832157fba833057eca1dbf0d56517162242519ed4f191f779f3638f67d"",""right_sha256"":""767c09385ee77fd55a58682747baf8a3b850406b355236d77fa46fb53871651b"",""overlap_rows"":168,""conflicting_rows"":44,""first_conflict"":""2026-01-02"",""last_conflict"":""2026-08-25"",""warmup_conflicting_sessions"":44}]",H:\workspace\PCSOS\pool_scan_runs\daily_coverage_recovery_20260905_1741\tickers\ACA.json
ACB,MIGRATED_ACTIVE_CONTENT_CONFLICT,"[{""year"":2025,""left"":""data\\parquet\\daily\\symbol=ACB\\year=2025\\7f41c4c7ef76877f61fe3749.parquet"",""right"":""data\\parquet\\daily\\symbol=ACB\\year=2025\\ACB_2025.parquet"",""left_sha256"":""5980029c88c1251218e1ccb02ef498077bd3ea450c6adc9b2df8dd6a1f4e1c96"",""right_sha256"":""006f237d5b72f94196f15578c1bfc07860a142444a73f2e10cbfe188fb961538"",""overlap_rows"":250,""conflicting_rows"":17,""first_conflict"":""2025-08-07"",""last_conflict"":""2025-12-31"",""warmup_conflicting_sessions"":8},{""year"":2026,""left"":""data\\parquet\\daily\\symbol=ACB\\year=2026\\ACB_2026.parquet"",""right"":""data\\parquet\\daily\\symbol=ACB\\year=2026\\acb324f86cd2ad184fad96b9.parquet"",""left_sha256"":""40e91682155eb7013f44c9773c5c5cccbc04fac2bf4b824cc71e95aa929317ce"",""right_sha256"":""094db5bfd74f81f5190f4741ab68ff0d139780cb7b8f40010199ee2db3c167cb"",""overlap_rows"":168,""conflicting_rows"":36,""first_conflict"":""2026-01-27"",""last_conflict"":""2026-08-28"",""warmup_conflicting_sessions"":36}]",H:\workspace\PCSOS\pool_scan_runs\daily_coverage_recovery_20260905_1741\tickers\ACB.json
ACET,MIGRATED_ACTIVE_CONTENT_CONFLICT,"[{""year"":2025,""left"":""data\\parquet\\daily\\symbol=ACET\\year=2025\\5f5b2fb3b2e8e4ec69655434.parquet"",""right"":""data\\parquet\\daily\\symbol=ACET\\year=2025\\ACET_2025.parquet"",""left_sha256"":""755329846d52ec21a7b8b668ad0a33273fc42cf50e4074e8336715293b399847"",""right_sha256"":""0d10fcda883cbc4e8da64a781d3269192a54d2059caba7379edf3b1691a23347"",""overlap_rows"":250,""conflicting_rows"":55,""first_conflict"":""2025-07-10"",""last_conflict"":""2025-12-23"",""warmup_conflicting_sessions"":15},{""year"":2026,""left"":""data\\parquet\\daily\\symbol=ACET\\year=2026\\0be523413d2f006976cda12a.parquet"",""right"":""data\\parquet\\daily\\symbol=ACET\\year=2026\\ACET_2026.parquet"",""left_sha256"":""d7682512a2994883d3ca7e1d43fd0ee73d329f17a36ee09c4361faa5575a3c70"",""right_sha256"":""d7682512a2994883d3ca7e1d43fd0ee73d329f17a36ee09c4361faa5575a3c70"",""overlap_rows"":168,""conflicting_rows"":0,""first_conflict"":null,""last_conflict"":null,""warmup_conflicting_sessions"":0}]",H:\workspace\PCSOS\pool_scan_runs\daily_coverage_recovery_20260905_1741\tickers\ACET.json
ACGL,MIGRATED_ACTIVE_CONTENT_CONFLICT,"[{""year"":2025,""left"":""data\\parquet\\daily\\symbol=ACGL\\year=2025\\4c820acdb12e22084e9f91ab.parquet"",""right"":""data\\parquet\\daily\\symbol=ACGL\\year=2025\\ACGL_2025.parquet"",""left_sha256"":""1dbd3352e90b88825a258eb66c6d0735e93e8407c758ae6ce1f57c7006429b30"",""right_sha256"":""1dbd3352e90b88825a258eb66c6d0735e93e8407c758ae6ce1f57c7006429b30"",""overlap_rows"":250,""conflicting_rows"":0,""first_conflict"":null,""last_conflict"":null,""warmup_conflicting_sessions"":0},{""year"":2026,""left"":""data\\parquet\\daily\\symbol=ACGL\\year=2026\\8e5a95597210ec555d05d693.parquet"",""right"":""data\\parquet\\daily\\symbol=ACGL\\year=2026\\ACGL_2026.parquet"",""left_sha256"":""0f4f819f1e0830fa0bf6216ee424a9443c386ff9be62da4abaf31134ecd0c37c"",""right_sha256"":""0f4f819f1e0830fa0bf6216ee424a9443c386ff9be62da4abaf31134ecd0c37c"",""overlap_rows"":168,""conflicting_rows"":0,""first_conflict"":null,""last_conflict"":null,""warmup_conflicting_sessions"":0},{""year"":2026,""left"":""data\\parquet\\daily\\symbol=ACGL\\year=2026\\8e5a95597210ec555d05d693.parquet"",""right"":""data\\parquet\\daily\\symbol=ACGL\\year=2026\\e6bab2e755cc90efa59a3d50.parquet"",""left_sha256"":""0f4f819f1e0830fa0bf6216ee424a9443c386ff9be62da4abaf31134ecd0c37c"",""right_sha256"":""e9c12115c963ac78495caf11edb0324ef2d2d1405242fa76df2be38251fd66c7"",""overlap_rows"":167,""conflicting_rows"":32,""first_conflict"":""2026-02-23"",""last_conflict"":""2026-08-06"",""warmup_conflicting_sessions"":32},{""year"":2026,""left"":""data\\parquet\\daily\\symbol=ACGL\\year=2026\\ACGL_2026.parquet"",""right"":""data\\parquet\\daily\\symbol=ACGL\\year=2026\\e6bab2e755cc90efa59a3d50.parquet"",""left_sha256"":""0f4f819f1e0830fa0bf6216ee424a9443c386ff9be62da4abaf31134ecd0c37c"",""right_sha256"":""e9c12115c963ac78495caf11edb0324ef2d2d1405242fa76df2be38251fd66c7"",""overlap_rows"":167,""conflicting_rows"":32,""first_conflict"":""2026-02-23"",""last_conflict"":""2026-08-06"",""warmup_conflicting_sessions"":32}]",H:\workspace\PCSOS\pool_scan_runs\daily_coverage_recovery_20260905_1741\tickers\ACGL.json
